train_id,train_name,source_station,destination_station,train_category,distance_km,avg_travel_hours,base_fare,zone
TR001,Ramaswamy-Mittal Express,Mumbai,Guntur,Duronto,2333,4.7,4148,East Coast
TR002,Narasimhan PLC Express,Mumbai,Bengaluru,Shatabdi,1036,20.6,2398,Western
TR003,Modi-Kaul Express,Delhi,Visakhapatnam,Rajdhani,133,12.8,673,Southern
TR004,"Mistry, Dugar and Bora Express",Hyderabad,Kolkata,Duronto,221,16.4,3237,East Coast
TR005,Tripathi-Keer Express,Vijayawada,Guntur,Express,619,5.2,2614,South Central
TR006,Pillai LLC Express,Guntur,Delhi,Intercity,1160,24.3,3753,South Central
TR007,Sharaf Inc Express,Hyderabad,Chennai,Shatabdi,1247,15.5,1014,South Central
TR008,"Jayaraman, Sachdev and Pradhan Express",Hyderabad,Kolkata,Intercity,1702,28.3,4486,South Central
TR009,Banerjee-Sheth Express,Kolkata,Delhi,Shatabdi,1695,21.9,4282,Southern
TR010,Varkey-Mukherjee Express,Guntur,Visakhapatnam,Duronto,2424,9.2,2554,East Coast
TR011,Pall LLC Express,Guntur,Hyderabad,Rajdhani,618,21.1,237,Western
TR012,"Chandra, Sami and Chaudry Express",Kolkata,Delhi,Duronto,398,20.1,4715,East Coast
TR013,Bassi Ltd Express,Visakhapatnam,Vijayawada,Duronto,1228,14.1,3010,Western
TR014,Narula and Sons Express,Vijayawada,Pune,Shatabdi,932,22.8,4402,Southern
TR015,Varghese Inc Express,Vijayawada,Pune,Superfast,695,12.1,1550,East Coast
TR016,"Rajan, Mody and Tak Express",Kolkata,Guntur,Shatabdi,1758,19.6,4254,Western
TR017,Chakraborty Ltd Express,Kolkata,Bengaluru,Intercity,1524,17.1,3953,East Coast
TR018,"Kota, Kara and Aurora Express",Delhi,Guntur,Duronto,1759,11.8,3823,Southern
TR019,"Sekhon, Dugal and Nagi Express",Hyderabad,Chennai,Superfast,739,23.5,1889,South Central
TR020,Bassi-Pradhan Express,Visakhapatnam,Vijayawada,Shatabdi,1980,22.3,2846,East Coast
TR021,Salvi LLC Express,Mumbai,Chennai,Duronto,1980,29.5,4040,East Coast
TR022,Dey Group Express,Pune,Mumbai,Rajdhani,1238,13.4,4010,Southern
TR023,Char-Saran Express,Guntur,Pune,Intercity,776,26.6,644,South Central
TR024,Dara LLC Express,Kolkata,Delhi,Superfast,1548,14.2,897,Southern
TR025,"Dayal, Keer and Bora Express",Vijayawada,Delhi,Intercity,440,10.5,2677,Southern
TR026,Bansal Ltd Express,Kolkata,Pune,Intercity,1470,5.4,1101,Western
TR027,Sama-Datta Express,Hyderabad,Chennai,Superfast,886,4.1,3180,South Central
TR028,"Suri, Murthy and Behl Express",Visakhapatnam,Hyderabad,Intercity,866,6.6,3543,South Central
TR029,Thaker Ltd Express,Hyderabad,Bengaluru,Duronto,537,24.0,1211,Southern
TR030,Ramanathan-Maharaj Express,Delhi,Vijayawada,Superfast,1840,4.8,1082,South Central
TR031,Jha Inc Express,Hyderabad,Delhi,Intercity,2480,2.9,670,Northern
TR032,Bhattacharyya Inc Express,Guntur,Delhi,Superfast,2452,12.2,995,East Coast
TR033,"Raj, Subramaniam and Behl Express",Mumbai,Kolkata,Shatabdi,1757,8.6,2789,East Coast
TR034,"Sarin, Garde and Randhawa Express",Mumbai,Guntur,Duronto,1866,2.4,2268,Western
TR035,Rastogi Ltd Express,Visakhapatnam,Vijayawada,Rajdhani,1619,22.7,1344,Western
TR036,Yohannan and Sons Express,Kolkata,Visakhapatnam,Rajdhani,1815,26.5,1712,Northern
TR037,Kakar LLC Express,Pune,Visakhapatnam,Intercity,137,25.5,4740,Southern
TR038,Gola-Pillay Express,Bengaluru,Mumbai,Duronto,1824,16.7,3451,South Central
TR039,Badami-Suresh Express,Bengaluru,Pune,Duronto,1794,22.6,548,South Central
TR040,Krishnan Ltd Express,Vijayawada,Chennai,Duronto,2026,15.4,3503,Southern
TR041,"Dubey, Pathak and Loke Express",Delhi,Vijayawada,Rajdhani,2066,29.7,3031,Southern
TR042,"Bail, Mann and Bath Express",Hyderabad,Guntur,Express,2115,9.1,531,Southern
TR043,Dixit LLC Express,Chennai,Hyderabad,Shatabdi,505,26.7,362,South Central
TR044,Sehgal-Shenoy Express,Hyderabad,Pune,Rajdhani,175,15.0,735,Northern
TR045,Ram-Shan Express,Kolkata,Vijayawada,Shatabdi,2352,25.6,536,Western
TR046,"Bhardwaj, Trivedi and Seth Express",Pune,Delhi,Superfast,2459,14.0,2918,East Coast
TR047,Kata-D’Alia Express,Visakhapatnam,Mumbai,Superfast,2496,5.6,3765,Northern
TR048,Parmer LLC Express,Guntur,Kolkata,Express,2225,19.1,416,Southern
TR049,Kamdar Inc Express,Guntur,Bengaluru,Express,2339,17.8,3955,Western
TR050,Sarkar PLC Express,Pune,Vijayawada,Superfast,661,29.7,2369,Western
TR051,"Kannan, Ramachandran and Seth Express",Bengaluru,Mumbai,Duronto,2443,4.9,4842,South Central
TR052,Bora-Natarajan Express,Vijayawada,Delhi,Express,1409,17.5,1932,Southern
TR053,"Edwin, Kota and Puri Express",Pune,Guntur,Shatabdi,1480,12.6,3732,East Coast
TR054,Dara-Kumar Express,Visakhapatnam,Chennai,Rajdhani,1457,20.8,1258,Northern
TR055,Sekhon-Bhattacharyya Express,Chennai,Guntur,Superfast,1685,20.3,4097,Southern
TR056,Ramakrishnan LLC Express,Hyderabad,Vijayawada,Rajdhani,444,8.6,3514,South Central
TR057,Dayal-Hans Express,Hyderabad,Chennai,Duronto,1716,25.8,585,Northern
TR058,Kumer PLC Express,Chennai,Vijayawada,Superfast,1709,15.8,3099,Northern
TR059,Sekhon-Thakkar Express,Pune,Vijayawada,Express,626,24.4,1130,Northern
TR060,Nagi LLC Express,Hyderabad,Visakhapatnam,Superfast,1390,9.4,1311,Northern
TR061,Wable Inc Express,Pune,Bengaluru,Intercity,482,28.5,2043,Southern
