passenger_id,gender,age_group,state,travel_type,occupation,travel_frequency
P00001,Female,50+,Telangana,Business,Government Employee,Medium
P00002,Male,36-50,Andhra Pradesh,Personal,Student,High
P00003,Female,50+,Telangana,Personal,Business Owner,Low
P00004,Female,50+,Tamil Nadu,Personal,Student,Medium
P00005,Male,18-25,Andhra Pradesh,Business,Teacher,Low
P00006,Female,26-35,Telangana,Business,Student,Medium
P00007,Female,36-50,Tamil Nadu,Business,IT Employee,Low
P00008,Male,50+,Telangana,Business,Teacher,Low
P00009,Female,36-50,Delhi,Personal,Doctor,High
P00010,Female,50+,Delhi,Business,IT Employee,Medium
P00011,Male,50+,Karnataka,Business,Government Employee,Medium
P00012,Male,18-25,Telangana,Business,IT Employee,High
P00013,Male,26-35,Delhi,Business,Business Owner,High
P00014,Male,18-25,Andhra Pradesh,Personal,IT Employee,Medium
P00015,Male,18-25,Telangana,Business,Doctor,Low
P00016,Female,26-35,Delhi,Business,IT Employee,High
P00017,Female,36-50,Maharashtra,Personal,Government Employee,Medium
P00018,Female,26-35,Maharashtra,Business,Teacher,High
P00019,Male,18-25,Tamil Nadu,Business,Business Owner,High
P00020,Female,18-25,Karnataka,Business,IT Employee,Low
P00021,Female,36-50,Telangana,Business,Student,High
P00022,Male,36-50,Maharashtra,Personal,Teacher,High
P00023,Male,18-25,Maharashtra,Personal,Teacher,Low
P00024,Female,18-25,Telangana,Business,Doctor,Low
P00025,Male,50+,Tamil Nadu,Personal,Government Employee,Low
P00026,Female,26-35,Andhra Pradesh,Business,IT Employee,Medium
P00027,Male,36-50,Karnataka,Business,IT Employee,Low
P00028,Female,50+,Karnataka,Business,IT Employee,High
P00029,Male,50+,Karnataka,Personal,Business Owner,Low
P00030,Female,50+,Telangana,Personal,Business Owner,Medium
P00031,Male,36-50,Maharashtra,Personal,Government Employee,Low
P00032,Female,50+,Maharashtra,Personal,Teacher,High
P00033,Female,50+,Delhi,Business,Teacher,Medium
P00034,Male,50+,Telangana,Business,Teacher,Medium
P00035,Male,26-35,Karnataka,Business,Student,High
P00036,Female,26-35,Maharashtra,Business,Teacher,Medium
P00037,Female,26-35,Andhra Pradesh,Personal,Student,High
P00038,Male,50+,Andhra Pradesh,Business,IT Employee,Medium
P00039,Female,26-35,Karnataka,Business,Government Employee,Low
P00040,Female,50+,Tamil Nadu,Business,IT Employee,Low
P00041,Female,36-50,Delhi,Personal,IT Employee,Low
P00042,Female,26-35,Maharashtra,Business,Doctor,Medium
P00043,Male,26-35,Telangana,Personal,Teacher,Medium
P00044,Male,18-25,Delhi,Business,Student,High
P00045,Female,18-25,Tamil Nadu,Business,Student,High
P00046,Male,18-25,Tamil Nadu,Business,Government Employee,Low
P00047,Female,36-50,Karnataka,Personal,Teacher,Medium
P00048,Male,50+,Telangana,Personal,Teacher,Medium
P00049,Male,50+,Andhra Pradesh,Personal,IT Employee,Low
P00050,Female,36-50,Andhra Pradesh,Business,Business Owner,Low
P00051,Female,26-35,Telangana,Business,Student,High
P00052,Female,26-35,Karnataka,Business,Business Owner,Low
P00053,Female,26-35,Maharashtra,Personal,Teacher,High
P00054,Female,50+,Karnataka,Business,Doctor,High
P00055,Female,18-25,Karnataka,Personal,Teacher,Low
P00056,Male,36-50,Delhi,Business,Student,Low
P00057,Female,50+,Andhra Pradesh,Business,Teacher,High
P00058,Female,50+,Telangana,Business,IT Employee,High
P00059,Male,26-35,Delhi,Personal,Government Employee,High
P00060,Female,50+,Maharashtra,Personal,Doctor,High
P00061,Male,26-35,Delhi,Personal,Doctor,Low
P00062,Male,26-35,Karnataka,Personal,Doctor,Low
P00063,Male,50+,Delhi,Business,Government Employee,High
P00064,Female,50+,Karnataka,Business,IT Employee,High
P00065,Female,18-25,Karnataka,Business,Doctor,High
P00066,Female,36-50,Maharashtra,Business,Teacher,Medium
P00067,Female,50+,Tamil Nadu,Business,Doctor,Low
P00068,Female,18-25,Karnataka,Personal,Student,Medium
P00069,Female,36-50,Tamil Nadu,Personal,Student,High
P00070,Male,50+,Karnataka,Business,Business Owner,Medium
P00071,Female,26-35,Karnataka,Business,Doctor,Low
P00072,Male,18-25,Tamil Nadu,Personal,Government Employee,Low
P00073,Male,18-25,Andhra Pradesh,Personal,Student,Medium
P00074,Male,18-25,Tamil Nadu,Business,Government Employee,High
P00075,Female,26-35,Maharashtra,Business,Government Employee,High
P00076,Female,18-25,Andhra Pradesh,Business,Doctor,Medium
P00077,Female,26-35,Maharashtra,Personal,IT Employee,Medium
P00078,Male,50+,Karnataka,Personal,Teacher,Low
P00079,Female,18-25,Andhra Pradesh,Business,Teacher,Low
P00080,Female,36-50,Karnataka,Business,IT Employee,Medium
P00081,Male,26-35,Tamil Nadu,Business,Teacher,Medium
P00082,Male,18-25,Telangana,Business,IT Employee,Low
P00083,Male,26-35,Telangana,Personal,Student,Low
P00084,Female,18-25,Maharashtra,Personal,Teacher,Medium
P00085,Female,18-25,Telangana,Personal,Business Owner,High
P00086,Female,50+,Maharashtra,Personal,Student,High
P00087,Female,36-50,Delhi,Business,Government Employee,Low
P00088,Female,50+,Maharashtra,Personal,Student,Medium
P00089,Male,18-25,Andhra Pradesh,Business,Government Employee,High
P00090,Female,26-35,Maharashtra,Business,Government Employee,Medium
P00091,Male,26-35,Delhi,Personal,Government Employee,Low
P00092,Female,50+,Delhi,Personal,Doctor,High
